,cart,catboost,gbdt,lr_threshold
Age,0.1573051011331105,0.6517436984189383,0.26911894338867304,0.17919785281277445
BusinessTravel,0.0,0.36331978782427593,0.08002285689950016,0.03872861080108711
DailyRate,0.1849737319477718,0.5948991096207358,0.4348364353881609,0.008122887837102829
Department,0.0,0.44551576375325314,0.0031219195884261016,0.11235090435869109
DistanceFromHome,0.0,0.5917343420117255,0.2759992017376834,1.0
Education,0.0,0.37648877646566953,0.007508485967197935,0.010987363067115343
EducationField,0.0,0.772886188618511,0.22036814937600513,0.05770662789260224
EmployeeCount,0.0,0.0,0.0,0.010714061722249915
EnvironmentSatisfaction,0.24307051497062726,0.8124845149452001,0.43148562243256444,0.21206138791160484
Gender,0.0,0.14456267487799282,0.04617109831803966,0.044817487702176986
HourlyRate,0.0,0.5959366628700286,0.18010720597662094,0.11808812232637605
JobInvolvement,0.24953888705330432,0.27103699201857195,0.2488426812529154,0.14331952624821004
JobLevel,0.0,0.22527576049451825,0.15801053275633672,0.032807523601236184
JobRole,0.0,0.7997366183470462,0.3496592771178231,0.2449727178114211
JobSatisfaction,0.0,0.545863045321976,0.18885295680001676,0.24300563190976757
MaritalStatus,0.08215017935775157,0.6706150656594745,0.1425452493805796,0.24491701728781531
MonthlyIncome,0.7386070242072011,0.8504223143313642,1.0,0.0010777199427660703
MonthlyRate,0.0,0.6196849804719858,0.3369004943423173,0.00018388087287943842
NumCompaniesWorked,0.46903180382323145,0.557435202364495,0.38201938731235363,0.6134759119616182
Over18,0.0,0.0,0.0,0.0
OverTime,0.7809962420307022,1.0,0.8934541359598966,0.28017927893123257
PercentSalaryHike,0.19153522434227843,0.47634150154606864,0.24736950263086896,0.14255216891469355
PerformanceRating,0.0,0.03447839555840434,0.0,0.04589239807172729
RelationshipSatisfaction,0.0,0.35382579029996536,0.08849803944877567,0.07179051583118766
StockOptionLevel,0.514500105230684,0.6139901205000264,0.5088161874570419,0.23788388489840845
TotalWorkingYears,0.16320042674936452,0.48781059212269473,0.6675025660479403,0.5669778405791609
TrainingTimesLastYear,0.0,0.24004802475434928,0.07532743517652346,0.1112492697852015
WorkLifeBalance,0.0,0.396449456096072,0.29699484504217954,0.0736795019165862
YearsAtCompany,0.0,0.23575859597547796,0.12188008386252466,0.8474043539184112
YearsInCurrentRole,0.12467784792957637,0.1869222942523702,0.028885947332260357,0.7064595132025303
YearsSinceLastPromotion,0.07881789942919488,0.27389563223534924,0.13312511274528022,0.2680547479322833
YearsWithCurrManager,1.0,0.6394139075440429,0.4953447328383873,0.7277644775515445
